starttime	seconds	ctime	dtime	ttime	wait
Tue Oct 26 20:49:58 2021	1635261598	0	1061	1062	1061
Tue Oct 26 20:50:03 2021	1635261603	0	1063	1064	998
Tue Oct 26 20:49:50 2021	1635261590	2	1062	1064	1061
Tue Oct 26 20:50:02 2021	1635261602	0	1064	1064	1042
Tue Oct 26 20:49:50 2021	1635261590	2	1062	1064	1061
Tue Oct 26 20:49:53 2021	1635261593	0	1064	1065	948
Tue Oct 26 20:49:50 2021	1635261590	3	1063	1065	637
Tue Oct 26 20:49:54 2021	1635261594	0	1066	1066	1048
Tue Oct 26 20:50:04 2021	1635261604	0	1066	1066	1066
Tue Oct 26 20:50:01 2021	1635261601	0	1066	1066	1022
Tue Oct 26 20:49:56 2021	1635261596	0	1067	1067	1066
Tue Oct 26 20:50:03 2021	1635261603	0	1068	1068	481
Tue Oct 26 20:49:52 2021	1635261592	0	1068	1068	1068
Tue Oct 26 20:50:01 2021	1635261601	0	1069	1069	1068
Tue Oct 26 20:49:52 2021	1635261592	0	1069	1070	1050
Tue Oct 26 20:49:51 2021	1635261591	0	1069	1070	445
Tue Oct 26 20:49:51 2021	1635261591	0	1071	1071	763
Tue Oct 26 20:49:54 2021	1635261594	0	1071	1071	1032
Tue Oct 26 20:50:04 2021	1635261604	0	1072	1072	1060
Tue Oct 26 20:49:50 2021	1635261590	3	1070	1072	659
Tue Oct 26 20:49:59 2021	1635261599	0	1073	1073	1058
Tue Oct 26 20:49:59 2021	1635261599	0	1073	1073	1066
Tue Oct 26 20:49:56 2021	1635261596	2	1072	1073	773
Tue Oct 26 20:49:59 2021	1635261599	0	1073	1073	1069
Tue Oct 26 20:50:04 2021	1635261604	0	1076	1076	857
Tue Oct 26 20:50:04 2021	1635261604	0	1077	1078	1076
Tue Oct 26 20:50:03 2021	1635261603	0	1078	1078	659
Tue Oct 26 20:50:04 2021	1635261604	0	1078	1078	1043
Tue Oct 26 20:49:58 2021	1635261598	10	1069	1079	1064
Tue Oct 26 20:49:55 2021	1635261595	0	1079	1079	1076
Tue Oct 26 20:49:57 2021	1635261597	0	1080	1080	1016
Tue Oct 26 20:49:58 2021	1635261598	10	1071	1081	1070
Tue Oct 26 20:49:54 2021	1635261594	1	1080	1081	1016
Tue Oct 26 20:50:00 2021	1635261600	0	1082	1082	1081
Tue Oct 26 20:50:04 2021	1635261604	0	1085	1085	1084
Tue Oct 26 20:49:52 2021	1635261592	0	1086	1086	916
Tue Oct 26 20:49:58 2021	1635261598	0	1087	1087	797
Tue Oct 26 20:50:02 2021	1635261602	0	1087	1087	1022
Tue Oct 26 20:49:50 2021	1635261590	5	1084	1089	1071
Tue Oct 26 20:50:04 2021	1635261604	0	1090	1090	1089
Tue Oct 26 20:49:55 2021	1635261595	0	1090	1090	976
Tue Oct 26 20:49:51 2021	1635261591	0	1091	1091	1087
Tue Oct 26 20:49:54 2021	1635261594	0	1091	1091	846
Tue Oct 26 20:49:59 2021	1635261599	0	1091	1092	1091
Tue Oct 26 20:49:57 2021	1635261597	0	1091	1092	780
Tue Oct 26 20:49:54 2021	1635261594	0	1092	1092	1010
Tue Oct 26 20:49:55 2021	1635261595	7	1086	1093	680
Tue Oct 26 20:50:04 2021	1635261604	0	1093	1093	1092
Tue Oct 26 20:50:02 2021	1635261602	0	1094	1095	1094
Tue Oct 26 20:49:58 2021	1635261598	0	1095	1095	1094
Tue Oct 26 20:50:03 2021	1635261603	0	1096	1096	1096
Tue Oct 26 20:50:01 2021	1635261601	0	1098	1098	988
Tue Oct 26 20:49:58 2021	1635261598	3	1095	1098	1086
Tue Oct 26 20:49:58 2021	1635261598	1	1098	1098	1061
Tue Oct 26 20:49:59 2021	1635261599	0	1099	1099	1098
Tue Oct 26 20:49:53 2021	1635261593	0	1099	1099	769
Tue Oct 26 20:49:57 2021	1635261597	0	1099	1099	1095
Tue Oct 26 20:49:57 2021	1635261597	4	1095	1099	1084
Tue Oct 26 20:50:02 2021	1635261602	0	1099	1100	652
Tue Oct 26 20:49:52 2021	1635261592	0	1100	1100	1063
Tue Oct 26 20:50:01 2021	1635261601	0	1101	1101	1101
Tue Oct 26 20:49:57 2021	1635261597	0	1103	1103	1096
Tue Oct 26 20:49:51 2021	1635261591	0	1103	1103	1102
Tue Oct 26 20:50:04 2021	1635261604	0	1105	1105	1097
Tue Oct 26 20:49:51 2021	1635261591	0	1106	1107	1106
Tue Oct 26 20:49:54 2021	1635261594	1	1106	1107	1085
Tue Oct 26 20:49:54 2021	1635261594	1	1107	1107	1088
